,CH1,CH2,CH3,CH4
,15.3853,497.49,503.088,3.03922
,15.3461,497.245,502.549,3.33333
,15.3436,496.657,502.01,3.18627
,15.3828,496.461,501.618,3.18627
,15.3804,495.873,500.882,3.18627
,15.373,495.431,500.343,2.9902
,15.4,495.235,500.049,3.03922
,15.3583,494.598,499.657,2.94118
,15.3755,493.912,499.461,2.89216
,15.3632,493.569,498.627,2.89216
,15.3902,493.422,498.333,3.03922
,15.3461,492.833,497.843,2.79412
,15.3534,492.784,497.647,2.9902
,15.3583,492.196,497.255,3.33333
,15.3436,491.951,496.863,2.9902
,15.3412,491.51,496.618,3.03922
,15.3779,490.971,496.127,3.28431
,15.324,490.725,495.931,3.08824
,15.3044,490.382,495.294,2.89216
,15.324,489.843,495.049,3.03922
,15.3412,489.696,494.608,2.89216
,15.3583,489.255,494.216,2.94118
,15.3559,488.422,493.627,3.23529
,15.3608,487.833,493.333,2.69608
,15.3412,487.686,492.647,2.54902
,15.3559,487.294,492.206,2.69608
,15.3608,487,491.716,2.94118
,15.3314,486.804,491.324,2.54902
,15.3926,486.167,491.029,2.79412
,15.3779,485.775,490.735,2.64706
,15.3387,485.284,490.245,2.84314
,15.3387,484.892,490.343,2.9902
,15.3632,484.451,489.657,2.89216
,15.3559,484.108,489.167,2.84314
,15.3338,483.765,488.725,2.89216
,15.3142,483.275,488.137,2.79412
,15.3191,483.127,488.039,2.9902
,15.3387,482.49,487.5,2.7451
,15.3118,482.196,487.108,2.40196
,15.324,481.657,486.422,2.7451
,15.3289,481.265,485.931,2.64706
,15.3142,480.529,485.833,2.7451
,15.3265,480.137,485.049,2.7451
,15.2775,479.941,484.755,2.64706
,15.3216,479.451,484.608,2.69608
,15.3044,479.059,484.167,2.64706
,15.3412,478.765,483.48,2.45098
,15.3289,478.324,482.99,2.69608
,15.3118,477.735,482.402,2.45098
,15.3044,477.784,481.961,2.54902
,15.3118,477.343,481.569,2.69608
,15.2995,476.853,481.127,2.79412
,15.324,476.265,480.686,2.84314
,15.3583,475.725,480.196,2.84314
,15.2873,475.431,479.755,2.84314
,15.2995,475.137,479.657,2.54902
,15.3093,474.549,478.873,2.54902
,15.2922,473.863,478.529,2.69608
,15.2676,473.373,478.039,2.69608
,15.3167,472.735,477.598,2.64706
,15.3167,472.637,477.402,2.54902
,15.2971,472.196,477.5,2.40196
,15.2848,472.245,477.353,2.64706
,15.2971,472.196,477.549,2.7451
,15.324,472.196,477.304,2.89216
,15.3142,471.412,476.275,2.89216
,15.3044,469.99,475,2.7451
,15.2775,468.569,473.775,2.35294
,15.2971,467.882,473.284,2.64706
,15.3338,467.882,472.99,2.5
,15.3142,468.765,473.824,2.59804
,15.302,468.716,474.559,3.03922
,15.2775,468.569,474.167,2.7451
,15.2848,467.98,473.137,2.59804
,15.302,467.049,472.059,3.03922
,15.3265,465.725,470.686,2.84314
,15.3093,464.696,469.853,2.64706
,15.3044,464.647,469.559,2.64706
,15.2775,464.353,469.314,2.64706
,15.3191,464.206,469.265,2.59804
,15.3216,463.618,468.775,2.45098
,15.2725,462.931,467.99,2.54902
,15.2824,462,466.863,2.89216
,15.2725,461.216,466.324,2.5
,15.2407,460.431,465.441,2.45098
,15.2309,459.843,464.755,2.64706
,15.2456,459.108,464.412,2.79412
,15.2701,458.275,463.676,2.89216
,15.2701,457.882,462.794,2.45098
,15.2676,456.804,462.647,2.64706
,15.2873,456.265,461.716,2.64706
,15.2775,455.627,460.539,2.64706
,15.248,454.598,459.951,2.64706
,15.2382,453.765,459.069,2.54902
,15.2137,453.127,458.48,2.69608
,15.2456,452.049,457.843,2.59804
